epoch,accuracy,loss,val_accuracy,val_loss
0,0.699881374835968,0.8255809545516968,0.7136150002479553,0.7389367818832397
1,0.8021945357322693,0.5413064360618591,0.7863849997520447,0.5818917155265808
2,0.8170225620269775,0.48382943868637085,0.8403756022453308,0.47738227248191833
3,0.8392645120620728,0.44161781668663025,0.8521126508712769,0.48531270027160645
4,0.840154230594635,0.4252432584762573,0.84272301197052,0.49732258915901184
5,0.8446025848388672,0.4235458970069885,0.8568075299263,0.48914778232574463
6,0.8508303761482239,0.40036681294441223,0.8661971688270569,0.4595622718334198
7,0.8561684489250183,0.38048428297042847,0.8638497591018677,0.48410147428512573
8,0.8591340184211731,0.3611309826374054,0.8802816867828369,0.45307353138923645
9,0.8570581078529358,0.3857499063014984,0.8685445785522461,0.45790261030197144
10,0.8606168627738953,0.36694926023483276,0.8661971688270569,0.483104407787323
11,0.8644721508026123,0.3547089695930481,0.8661971688270569,0.41530823707580566
12,0.858540952205658,0.3635454475879669,0.8497652411460876,0.4903568625450134
13,0.8620996475219727,0.3601425290107727,0.8685445785522461,0.4288555085659027
14,0.8582443594932556,0.37097543478012085,0.8474178314208984,0.45578017830848694
15,0.8692170977592468,0.3615170121192932,0.8661971688270569,0.44586434960365295
16,0.8612099885940552,0.3681012988090515,0.8638497591018677,0.41639477014541626
17,0.8623961806297302,0.3584510385990143,0.8779342770576477,0.4090108275413513
18,0.8715895414352417,0.34762200713157654,0.8755868673324585,0.42187950015068054
19,0.8698102235794067,0.34779077768325806,0.8615023493766785,0.4550533890724182
20,0.8620996475219727,0.35367903113365173,0.8732394576072693,0.43299344182014465
21,0.8698102235794067,0.3479359745979309,0.8779342770576477,0.37956473231315613
22,0.8665480613708496,0.3590131998062134,0.8732394576072693,0.38781413435935974
23,0.8674377202987671,0.3562829792499542,0.8568075299263,0.4241827726364136
24,0.86358243227005,0.34458425641059875,0.8661971688270569,0.4021194577217102
25,0.8555753231048584,0.37797558307647705,0.8615023493766785,0.394206166267395
26,0.8704033493995667,0.35339832305908203,0.8873239159584045,0.3700941503047943
27,0.8742585778236389,0.3436211943626404,0.8732394576072693,0.4256816506385803
28,0.8757414221763611,0.3329448997974396,0.8685445785522461,0.4301287829875946
29,0.8623961806297302,0.3675750195980072,0.8450704216957092,0.4547083079814911
